customer_id,first_name,last_name,birth_date,phone,address,city,state,points
1,Billie,Witting,1956-06-02,(229)288-6116,"127 Breitenberg Extensions",Watsicaborough,Pe,3175
2,Clementina,Dietrich,NULL,NULL,"6758 Fay Roads",Mossiestad,Ar,1230
3,Patricia,Bode,1950-07-15,NULL,"12319 Luciano Curve","Port Fletamouth",Il,4693
4,Rex,Lakin,1937-06-02,NULL,"703 Kreiger Hollow","East Theron",Id,4657
5,Sterling,Leannon,NULL,NULL,"28625 Collins Viaduct Apt. 451","New Margarettaville",Ka,583
6,Sarina,D'Amore,NULL,136.239.4489,"9408 Parisian Port","South Stantonberg",We,4224
7,Nichole,Deckow,1942-07-15,(330)805-5031x26391,"662 Effie Ford Apt. 252","Lake Annette",Al,3482
8,Florida,Bartell,1948-02-12,329.168.2426x52234,"56492 Cole Square","Lake Maverick",Ne,1775
9,Jeramie,Stark,NULL,NULL,"8287 Kale Brooks Apt. 420","North Colten",Id,3762
10,Jannie,Bergnaum,1935-07-15,NULL,"748 Ashtyn Field Suite 713",Greenmouth,Ut,395
11,Jennings,Christiansen,1940-10-23,NULL,"2862 Hamill Villages Suite 979",Gideonshire,Ma,1744
12,Viviane,Stroman,NULL,NULL,"936 Javonte Islands Suite 725",Beierfort,Wa,2895
13,Dillon,Hauck,1953-06-02,NULL,"97120 Carlee Road Suite 541",Gilbertoberg,No,3171
14,Breana,King,NULL,NULL,"2915 Sipes Avenue Suite 413","Port Fanny",Ma,2424
15,Jazmin,Nitzsche,1949-07-15,501.954.4282x564,"7004 Vella Harbor",Tillmanmouth,Al,2714
16,Toney,Greenfelder,1952-10-23,NULL,"55642 Murl Heights","North Blancheberg",Al,166
17,Lauren,Waelchi,NULL,07111555464,"29617 Nikolaus Wall",Kovacekmouth,So,34
18,Mayra,Rowe,1947-06-02,NULL,"949 Rebeka Creek Apt. 826","Lake Audramouth",Id,3057
19,Paula,Weimann,NULL,NULL,"696 Terry Unions",Violethaven,Te,2183
20,Antonietta,Schowalter,NULL,+00(7)8459163500,"23294 Armstrong Stravenue Suite 675","New Fidel",No,1843
21,Lela,Schimmel,NULL,NULL,"172 Bergstrom Station Apt. 458","Lake Wilhelm",Lo,759
22,Malcolm,Koepp,NULL,NULL,"917 Jackie Mission Suite 130","North Uniquefurt",Or,1122
23,Jasper,Hermiston,NULL,NULL,"3189 Jacobson Plains Apt. 257","North Caitlynland",Io,4493
24,River,Littel,NULL,NULL,"07141 Heathcote Forges","East Ryleighmouth",Il,3277
25,Rahsaan,Willms,NULL,NULL,"240 Desmond Plain","South Marianastad",Di,4544
26,Josephine,Gibson,1933-10-23,604-272-3290x02640,"38023 Caroline Walks",Foreststad,Ar,2280
27,Emerson,Schultz,NULL,NULL,"732 Collier Overpass","North Berenicemouth",Te,4033
28,Dock,Borer,1937-07-15,1-645-260-6732x1762,"628 Della Flat Suite 687",Reyton,So,2336
29,Hobart,Wintheiser,1948-10-23,NULL,"3536 Melba Ville Apt. 200","East Gregorymouth",Ve,3965
