order_id;shipper_id;customer_id;order_date;status;shipped_date;first_name;last_name;birth_date;phone;address;city;state;points;shipper_name;order_status;id;product_id;quantity;unit_price;name;quantity_in_stock;comments
1;6;1;10/07/2005;1;NULL;Billie;Witting;02/06/1956;(229)288-6116;127 Breitenberg Extensions;Watsicaborough;Pe;3175;Dummy;Processed;1;212;4;93.75;GREEN CHRISTMAS TREE STRING 20LIGHT;104;NULL
1;6;1;10/07/2005;1;NULL;Billie;Witting;02/06/1956;(229)288-6116;127 Breitenberg Extensions;Watsicaborough;Pe;3175;Dummy;Processed;8001;243;8;14.65;TROPICAL PASSPORT COVER;83;NULL
2;2;2;31/01/2014;2;09/02/2014;Clementina;Dietrich;NULL;NULL;6758 Fay Roads;Mossiestad;Ar;1230;Schinner-Predovic;Shipped;2;200;12;54.69;SET OF 4 NAPKIN CHARMS HEARTS;64;"The material and construction of the pants are great, but the length is just plain awkward. i'm 5'4 and the regular came to just above my ankles, and looked as though they had shrunk in the wash in a really bad way. a couple of inches longer and they would've been fine, or i could've gotten them in petite and worn them as true ankle-length pants, but the regular just didn't do it for me. also i'm usually a size 6 (5'4"", 125lbs) and these were a little baggy around the waist and hips."""
2;2;2;31/01/2014;2;09/02/2014;Clementina;Dietrich;NULL;NULL;6758 Fay Roads;Mossiestad;Ar;1230;Schinner-Predovic;Shipped;8002;240;12;78.61;DRAGONS BLOOD INCENSE;75;"The material and construction of the pants are great, but the length is just plain awkward. i'm 5'4 and the regular came to just above my ankles, and looked as though they had shrunk in the wash in a really bad way. a couple of inches longer and they would've been fine, or i could've gotten them in petite and worn them as true ankle-length pants, but the regular just didn't do it for me. also i'm usually a size 6 (5'4"", 125lbs) and these were a little baggy around the waist and hips."""
3;3;3;14/02/1992;3;21/02/1992;Patricia;Bode;15/07/1950;NULL;12319 Luciano Curve;Port Fletamouth;Il;4693;Satterfield LLC;Delivered;3;363;7;27.74;S/6 SEW ON CROCHET FLOWERS;4;NULL
3;3;3;14/02/1992;3;21/02/1992;Patricia;Bode;15/07/1950;NULL;12319 Luciano Curve;Port Fletamouth;Il;4693;Satterfield LLC;Delivered;8003;468;4;6.94;SKULLS PARTY BAG + STICKER SET;108;NULL
4;3;4;15/07/1974;1;NULL;Rex;Lakin;02/06/1937;NULL;703 Kreiger Hollow;East Theron;Id;4657;Satterfield LLC;Processed;4;466;11;79.97;PACK OF 6 SKULL PAPER CUPS;141;NULL
4;3;4;15/07/1974;1;NULL;Rex;Lakin;02/06/1937;NULL;703 Kreiger Hollow;East Theron;Id;4657;Satterfield LLC;Processed;8004;118;5;2.65;POTTING SHED SEED ENVELOPES;39;NULL
5;5;5;27/10/2009;2;01/11/2009;Sterling;Leannon;NULL;NULL;28625 Collins Viaduct Apt. 451;New Margarettaville;Ka;583;Waters, Mayert and Prohaska;Shipped;5;488;8;25.79;CREAM WALL PLANTER HEART SHAPED;16;NULL
5;5;5;27/10/2009;2;01/11/2009;Sterling;Leannon;NULL;NULL;28625 Collins Viaduct Apt. 451;New Margarettaville;Ka;583;Waters, Mayert and Prohaska;Shipped;8005;688;10;67.11;PINK HAPPY BIRTHDAY BUNTING;23;NULL
